Date,Students
2017-01-09,5
2017-01-11,12
2017-01-12,12
2017-01-12,10
2017-01-12,85
2017-01-13,15
2017-01-13,12
2017-01-16,15
2017-01-16,12
2017-01-16,70
2017-01-17,72
2017-01-17,25
2017-01-17,70
2017-01-17,70
2017-01-18,20
2017-01-18,15
2017-01-18,192
2017-01-18,72
2017-01-19,75
2017-01-20,12
2017-01-20,60
2017-01-23,20
2017-01-23,20
2017-01-23,65
2017-01-24,12
2017-01-25,40
2017-01-25,17
2017-01-26,60
2017-01-26,42
2017-01-26,14
2017-01-27,13
2017-01-27,118
2017-01-30,24
2017-01-30,118
2017-01-30,10
2017-02-02,70
2017-02-03,50
2017-02-09,20
2017-02-10,20
2017-02-13,3
2017-02-15,10
2017-02-16,25
2017-02-16,63
2017-02-22,19
2017-02-23,23
2017-02-24,25
2017-02-27,30
2017-02-27,21
2017-02-27,20
2017-02-27,32
2017-02-28,20
2017-02-28,25
2017-03-06,50
2017-03-08,14
2017-03-20,15
2017-03-20,150
2017-03-20,16
2017-03-21,15
2017-03-27,120
2017-05-08,30
2017-05-08,23
2017-05-09,30
2017-05-10,20
2017-05-11,20
2017-05-16,40
2017-05-16,11
2017-05-17,19
2017-05-18,25
2017-05-21,122
2017-06-06,26
2017-06-07,38
2017-06-08,25
2017-06-12,0
2017-06-14,40
2017-06-14,25
2017-06-26,10
2017-06-28,50
2017-07-07,2
2017-07-10,7
2017-07-11,16
2017-07-11,16
2017-07-12,16
2017-07-13,5
2017-07-17,4
2017-07-21,2
2017-07-31,190
2017-08-14,15
2017-08-16,45
2017-08-22,10
2017-09-01,10
2017-09-05,11
2017-09-05,50
2017-09-05,15
2017-09-05,100
2017-09-06,15
2017-09-08,12
2017-09-08,12
2017-09-09,124
2017-09-11,119
2017-09-11,74
2017-09-12,30
2017-09-12,20
2017-09-12,30
2017-09-13,70
2017-09-14,8
2017-09-14,6
2017-09-14,24
2017-09-15,20
2017-09-15,40
2017-09-15,25
2017-09-15,8
2017-09-18,320
2017-09-18,80
2017-09-18,35
2017-09-18,45
2017-09-18,60
2017-09-18,10
2017-09-19,12
2017-09-19,24
2017-09-20,3
2017-09-20,44
2017-09-20,45
2017-09-21,44
2017-09-21,400
2017-09-22,30
2017-09-22,20
2017-09-22,15
2017-09-25,30
2017-09-25,175
2017-09-26,20
2017-09-26,24
2017-09-26,24
2017-09-27,20
2017-09-28,21
2017-09-28,20
2017-09-28,22
2017-09-29,45
2017-09-29,6
2017-10-02,118
2017-10-03,20
2017-10-03,15
2017-10-03,70
2017-10-04,10
2017-10-04,385
2017-10-05,70
2017-10-05,45
2017-10-17,45
2017-10-18,35
2017-10-18,16
2017-10-18,6
2017-10-23,3
2017-10-24,60
2017-10-27,36
2017-10-30,175
2017-11-03,77
2017-11-03,81
2017-11-10,27
2017-11-27,3
